ID;Source;Target;Weight;Type;Label
346;55;63;12;Undirected;12
347;64;87;12;Undirected;12
348;31;64;12;Undirected;12
349;41;60;12;Undirected;12
350;44;82;12;Undirected;12
351;54;67;12;Undirected;12
352;21;83;12;Undirected;12
353;34;109;12;Undirected;12
354;4;62;12;Undirected;12
355;63;109;12;Undirected;12
356;70;93;12;Undirected;12
357;46;74;12;Undirected;12
358;83;109;12;Undirected;12
359;86;87;12;Undirected;12
360;79;88;12;Undirected;12
361;59;77;12;Undirected;12
362;4;107;11;Undirected;11
363;35;86;11;Undirected;11
364;44;55;11;Undirected;11
365;49;74;11;Undirected;11
366;43;48;11;Undirected;11
367;41;93;11;Undirected;11
368;11;54;11;Undirected;11
369;49;61;11;Undirected;11
370;16;43;11;Undirected;11
371;42;66;11;Undirected;11
372;53;55;11;Undirected;11
373;56;109;11;Undirected;11
374;3;42;11;Undirected;11
375;16;41;11;Undirected;11
376;34;54;11;Undirected;11
377;48;77;11;Undirected;11
378;77;108;11;Undirected;11
379;54;77;11;Undirected;11
380;63;88;11;Undirected;11
381;65;66;11;Undirected;11
382;93;97;11;Undirected;11
383;47;60;10;Undirected;10
384;46;72;10;Undirected;10
385;44;66;10;Undirected;10
386;43;82;10;Undirected;10
387;7;54;10;Undirected;10
388;107;110;10;Undirected;10
389;48;84;10;Undirected;10
390;77;95;10;Undirected;10
391;53;60;10;Undirected;10
392;76;82;10;Undirected;10
393;4;108;10;Undirected;10
394;41;61;10;Undirected;10
395;67;74;10;Undirected;10
396;32;99;10;Undirected;10
397;80;82;10;Undirected;10
398;87;93;10;Undirected;10
399;25;72;10;Undirected;10
400;43;61;10;Undirected;10
401;32;47;10;Undirected;10
402;90;107;10;Undirected;10
403;62;64;10;Undirected;10
404;55;61;10;Undirected;10
405;42;48;10;Undirected;10
406;41;72;10;Undirected;10
407;94;107;10;Undirected;10
408;54;55;10;Undirected;10
409;64;68;10;Undirected;10
410;68;105;10;Undirected;10
411;25;108;10;Undirected;10
412;54;68;10;Undirected;10
413;65;100;10;Undirected;10
414;64;86;10;Undirected;10
415;48;53;10;Undirected;10
416;55;78;10;Undirected;10
417;44;48;10;Undirected;10
418;63;72;10;Undirected;10
419;1;47;10;Undirected;10
420;66;74;10;Undirected;10
421;44;107;10;Undirected;10
422;25;107;9;Undirected;9
423;93;107;9;Undirected;9
424;20;87;9;Undirected;9
425;53;88;9;Undirected;9
426;48;65;9;Undirected;9
427;75;82;9;Undirected;9
428;7;64;9;Undirected;9
429;47;107;9;Undirected;9
430;62;65;9;Undirected;9
431;38;93;9;Undirected;9
432;72;83;9;Undirected;9
433;16;66;9;Undirected;9
434;55;62;9;Undirected;9
435;44;72;9;Undirected;9
436;35;88;9;Undirected;9
437;52;108;9;Undirected;9
438;78;88;9;Undirected;9
439;16;55;9;Undirected;9
440;7;35;9;Undirected;9
441;87;95;9;Undirected;9
442;32;49;9;Undirected;9
443;4;80;9;Undirected;9
444;57;72;9;Undirected;9
445;87;108;9;Undirected;9
446;41;53;9;Undirected;9
447;49;86;9;Undirected;9
448;60;61;9;Undirected;9
449;52;95;9;Undirected;9
450;66;71;9;Undirected;9
451;49;57;9;Undirected;9
452;46;66;9;Undirected;9
453;32;110;9;Undirected;9
454;53;72;9;Undirected;9
455;32;89;9;Undirected;9
456;4;67;9;Undirected;9
457;47;52;9;Undirected;9
458;21;74;9;Undirected;9
459;20;64;9;Undirected;9
460;106;107;9;Undirected;9
461;43;95;9;Undirected;9
462;31;88;9;Undirected;9
463;49;67;9;Undirected;9
464;86;93;9;Undirected;9
465;80;95;9;Undirected;9
466;62;108;9;Undirected;9
467;31;110;9;Undirected;9
468;95;97;9;Undirected;9
469;20;107;9;Undirected;9
470;62;95;9;Undirected;9
471;41;67;8;Undirected;8
472;20;80;8;Undirected;8
473;62;70;8;Undirected;8
474;43;86;8;Undirected;8
475;60;93;8;Undirected;8
476;62;68;8;Undirected;8
477;46;107;8;Undirected;8
478;78;94;8;Undirected;8
479;61;67;8;Undirected;8
480;48;61;8;Undirected;8
481;48;74;8;Undirected;8
482;65;72;8;Undirected;8
483;59;86;8;Undirected;8
484;3;41;8;Undirected;8
485;83;95;8;Undirected;8
486;54;101;8;Undirected;8
487;67;82;8;Undirected;8
488;54;65;8;Undirected;8
489;53;66;8;Undirected;8
490;53;59;8;Undirected;8
491;55;74;8;Undirected;8
492;35;42;8;Undirected;8
493;52;93;8;Undirected;8
494;18;104;8;Undirected;8
495;67;84;8;Undirected;8
496;48;72;8;Undirected;8
497;60;95;8;Undirected;8
498;41;64;8;Undirected;8
499;4;49;8;Undirected;8
500;47;49;8;Undirected;8
501;3;61;8;Undirected;8
502;75;109;8;Undirected;8
503;31;87;8;Undirected;8
504;66;101;8;Undirected;8
505;65;102;8;Undirected;8
506;78;109;8;Undirected;8
507;25;55;8;Undirected;8
508;55;102;8;Undirected;8
509;32;108;8;Undirected;8
510;75;77;8;Undirected;8
511;34;72;8;Undirected;8
512;82;110;8;Undirected;8
513;31;32;8;Undirected;8
514;38;66;8;Undirected;8
515;48;62;8;Undirected;8
516;61;64;8;Undirected;8
517;70;107;8;Undirected;8
518;25;67;8;Undirected;8
519;25;49;7;Undirected;7
520;42;54;7;Undirected;7
521;72;74;7;Undirected;7
522;32;62;7;Undirected;7
523;20;104;7;Undirected;7
524;21;35;7;Undirected;7
525;54;62;7;Undirected;7
526;67;68;7;Undirected;7
527;72;78;7;Undirected;7
528;4;35;7;Undirected;7
529;76;88;7;Undirected;7
530;46;49;7;Undirected;7
531;44;61;7;Undirected;7
532;44;49;7;Undirected;7
533;42;60;7;Undirected;7
534;16;65;7;Undirected;7
535;60;74;7;Undirected;7
536;50;64;7;Undirected;7
537;21;88;7;Undirected;7
538;4;72;7;Undirected;7
539;25;60;7;Undirected;7
540;59;78;7;Undirected;7
541;60;64;7;Undirected;7
542;32;66;7;Undirected;7
543;47;108;7;Undirected;7
544;84;88;7;Undirected;7
545;25;53;7;Undirected;7
546;48;78;7;Undirected;7
547;25;42;7;Undirected;7
548;48;86;7;Undirected;7
549;41;71;7;Undirected;7
550;23;64;7;Undirected;7
551;38;43;7;Undirected;7
552;25;93;7;Undirected;7
553;55;95;7;Undirected;7
554;38;87;7;Undirected;7
555;77;94;7;Undirected;7
556;50;82;7;Undirected;7
557;7;61;7;Undirected;7
558;57;79;7;Undirected;7
559;60;82;7;Undirected;7
560;71;107;7;Undirected;7
561;18;21;7;Undirected;7
562;43;102;7;Undirected;7
563;66;84;7;Undirected;7
564;80;108;7;Undirected;7
565;4;42;7;Undirected;7
566;77;80;7;Undirected;7
567;49;79;7;Undirected;7
568;73;87;7;Undirected;7
569;4;93;7;Undirected;7
570;67;83;7;Undirected;7
571;104;107;7;Undirected;7
572;42;95;7;Undirected;7
573;70;108;6;Undirected;6
574;32;88;6;Undirected;6
575;7;94;6;Undirected;6
576;49;56;6;Undirected;6
577;52;54;6;Undirected;6
578;49;102;6;Undirected;6
579;47;84;6;Undirected;6
580;83;86;6;Undirected;6
581;74;84;6;Undirected;6
582;18;74;6;Undirected;6
583;20;95;6;Undirected;6
584;34;41;6;Undirected;6
585;59;66;6;Undirected;6
586;79;95;6;Undirected;6
587;70;80;6;Undirected;6
588;42;80;6;Undirected;6
589;72;89;6;Undirected;6
590;53;78;6;Undirected;6
591;87;97;6;Undirected;6
592;3;62;6;Undirected;6
593;1;66;6;Undirected;6
594;76;77;6;Undirected;6
595;73;80;6;Undirected;6
596;25;35;6;Undirected;6
597;4;66;6;Undirected;6
598;35;70;6;Undirected;6
599;79;107;6;Undirected;6
600;31;107;6;Undirected;6
601;43;67;6;Undirected;6
602;47;78;6;Undirected;6
603;55;69;6;Undirected;6
604;85;102;6;Undirected;6
605;102;103;6;Undirected;6
606;47;67;6;Undirected;6
607;3;46;6;Undirected;6
608;55;94;6;Undirected;6
609;49;110;6;Undirected;6
610;74;90;6;Undirected;6
611;41;46;6;Undirected;6
612;20;90;6;Undirected;6
613;43;108;6;Undirected;6
614;74;93;6;Undirected;6
615;1;54;6;Undirected;6
616;83;107;6;Undirected;6
617;34;53;6;Undirected;6
618;80;93;6;Undirected;6
619;72;97;6;Undirected;6
620;35;95;6;Undirected;6
621;18;20;6;Undirected;6
622;46;83;6;Undirected;6
623;41;107;6;Undirected;6
624;18;110;6;Undirected;6
625;70;86;6;Undirected;6
626;59;82;6;Undirected;6
627;73;109;6;Undirected;6
628;62;86;6;Undirected;6
629;43;93;6;Undirected;6
630;47;64;6;Undirected;6
631;52;80;6;Undirected;6
632;7;72;6;Undirected;6
633;28;43;6;Undirected;6
634;34;67;5;Undirected;5
635;44;53;5;Undirected;5
636;55;110;5;Undirected;5
637;72;94;5;Undirected;5
638;7;55;5;Undirected;5
639;84;90;5;Undirected;5
640;4;77;5;Undirected;5
641;25;44;5;Undirected;5
642;60;67;5;Undirected;5
643;72;75;5;Undirected;5
644;66;68;5;Undirected;5
645;83;104;5;Undirected;5
646;20;54;5;Undirected;5
647;87;94;5;Undirected;5
648;60;70;5;Undirected;5
649;7;71;5;Undirected;5
650;4;55;5;Undirected;5
651;74;80;5;Undirected;5
652;31;66;5;Undirected;5
653;84;109;5;Undirected;5
654;54;59;5;Undirected;5
655;88;104;5;Undirected;5
656;60;87;5;Undirected;5
657;63;65;5;Undirected;5
658;43;53;5;Undirected;5
659;47;87;5;Undirected;5
660;3;80;5;Undirected;5
661;31;108;5;Undirected;5
662;18;47;5;Undirected;5
663;32;60;5;Undirected;5
664;32;48;5;Undirected;5
665;62;85;5;Undirected;5
666;1;48;5;Undirected;5
667;4;95;5;Undirected;5
668;16;49;5;Undirected;5
669;60;108;5;Undirected;5
670;31;77;5;Undirected;5
671;6;64;5;Undirected;5
672;31;55;5;Undirected;5
673;65;85;5;Undirected;5
674;4;48;5;Undirected;5
675;64;100;5;Undirected;5
676;43;59;5;Undirected;5
677;32;95;5;Undirected;5
