ID;Source;Target;Weight;Type;Label
335;63;99;8;Undirected;8
336;27;85;8;Undirected;8
337;45;60;8;Undirected;8
338;50;91;8;Undirected;8
339;50;111;8;Undirected;8
340;63;94;8;Undirected;8
341;50;116;8;Undirected;8
342;69;77;8;Undirected;8
343;54;123;8;Undirected;8
344;27;67;8;Undirected;8
345;46;49;8;Undirected;8
346;33;57;8;Undirected;8
347;73;123;8;Undirected;8
348;23;124;8;Undirected;8
349;67;76;7;Undirected;7
350;50;63;7;Undirected;7
351;25;85;7;Undirected;7
352;54;69;7;Undirected;7
353;62;98;7;Undirected;7
354;45;54;7;Undirected;7
355;29;110;7;Undirected;7
356;90;121;7;Undirected;7
357;49;85;7;Undirected;7
358;33;68;7;Undirected;7
359;49;78;7;Undirected;7
360;33;42;7;Undirected;7
361;33;91;7;Undirected;7
362;41;81;7;Undirected;7
363;41;105;7;Undirected;7
364;4;63;7;Undirected;7
365;23;89;7;Undirected;7
366;45;72;7;Undirected;7
367;46;76;7;Undirected;7
368;50;72;7;Undirected;7
369;46;89;7;Undirected;7
370;12;124;7;Undirected;7
371;81;99;7;Undirected;7
372;33;65;7;Undirected;7
373;33;70;7;Undirected;7
374;29;74;7;Undirected;7
375;60;89;7;Undirected;7
376;55;81;7;Undirected;7
377;46;64;7;Undirected;7
378;54;58;7;Undirected;7
379;63;100;7;Undirected;7
380;50;68;7;Undirected;7
381;50;65;7;Undirected;7
382;49;52;7;Undirected;7
383;77;81;7;Undirected;7
384;38;117;7;Undirected;7
385;27;62;7;Undirected;7
386;9;77;7;Undirected;7
387;33;56;7;Undirected;7
388;74;101;7;Undirected;7
389;33;120;7;Undirected;7
390;68;89;7;Undirected;7
391;90;99;7;Undirected;7
392;21;121;7;Undirected;7
393;98;121;7;Undirected;7
394;94;104;7;Undirected;7
395;49;65;7;Undirected;7
396;108;121;7;Undirected;7
397;77;124;7;Undirected;7
398;116;123;7;Undirected;7
399;34;106;7;Undirected;7
400;25;111;7;Undirected;7
401;34;124;7;Undirected;7
402;50;113;7;Undirected;7
403;45;62;7;Undirected;7
404;62;99;6;Undirected;6
405;87;121;6;Undirected;6
406;65;89;6;Undirected;6
407;58;99;6;Undirected;6
408;23;111;6;Undirected;6
409;100;116;6;Undirected;6
410;69;116;6;Undirected;6
411;64;71;6;Undirected;6
412;67;89;6;Undirected;6
413;12;62;6;Undirected;6
414;74;111;6;Undirected;6
415;74;81;6;Undirected;6
416;45;99;6;Undirected;6
417;25;63;6;Undirected;6
418;29;123;6;Undirected;6
419;67;78;6;Undirected;6
420;76;91;6;Undirected;6
421;65;69;6;Undirected;6
422;46;55;6;Undirected;6
423;55;78;6;Undirected;6
424;23;62;6;Undirected;6
425;23;50;6;Undirected;6
426;64;123;6;Undirected;6
427;77;85;6;Undirected;6
428;76;93;6;Undirected;6
429;55;89;6;Undirected;6
430;6;56;6;Undirected;6
431;4;62;6;Undirected;6
432;29;60;6;Undirected;6
433;27;69;6;Undirected;6
434;93;123;6;Undirected;6
435;70;116;6;Undirected;6
436;23;56;6;Undirected;6
437;78;85;6;Undirected;6
438;50;60;6;Undirected;6
439;5;121;6;Undirected;6
440;38;78;6;Undirected;6
441;50;69;6;Undirected;6
442;2;33;6;Undirected;6
443;62;124;6;Undirected;6
444;84;88;6;Undirected;6
445;51;77;6;Undirected;6
446;33;46;6;Undirected;6
447;65;113;6;Undirected;6
448;36;68;6;Undirected;6
449;54;81;6;Undirected;6
450;44;67;6;Undirected;6
451;4;124;6;Undirected;6
452;33;67;6;Undirected;6
453;77;91;6;Undirected;6
454;60;65;6;Undirected;6
455;45;95;6;Undirected;6
456;45;68;6;Undirected;6
457;77;92;6;Undirected;6
458;54;99;6;Undirected;6
459;67;94;6;Undirected;6
460;91;105;6;Undirected;6
461;27;42;5;Undirected;5
462;23;46;5;Undirected;5
463;8;65;5;Undirected;5
464;6;94;5;Undirected;5
465;56;63;5;Undirected;5
466;28;123;5;Undirected;5
467;49;73;5;Undirected;5
468;88;94;5;Undirected;5
469;6;49;5;Undirected;5
470;45;49;5;Undirected;5
471;45;58;5;Undirected;5
472;30;101;5;Undirected;5
473;59;63;5;Undirected;5
474;68;85;5;Undirected;5
475;57;58;5;Undirected;5
476;23;82;5;Undirected;5
477;38;68;5;Undirected;5
478;29;65;5;Undirected;5
479;56;68;5;Undirected;5
480;64;76;5;Undirected;5
481;50;70;5;Undirected;5
482;31;91;5;Undirected;5
483;8;101;5;Undirected;5
484;56;69;5;Undirected;5
485;41;68;5;Undirected;5
486;73;101;5;Undirected;5
487;27;68;5;Undirected;5
488;63;78;5;Undirected;5
489;45;78;5;Undirected;5
490;68;81;5;Undirected;5
491;84;98;5;Undirected;5
492;13;70;5;Undirected;5
493;45;65;5;Undirected;5
494;29;76;5;Undirected;5
495;6;74;5;Undirected;5
496;70;76;5;Undirected;5
497;40;77;5;Undirected;5
498;23;65;5;Undirected;5
499;62;89;5;Undirected;5
500;43;64;5;Undirected;5
501;78;94;5;Undirected;5
502;55;65;5;Undirected;5
503;29;41;5;Undirected;5
504;60;77;5;Undirected;5
505;55;90;5;Undirected;5
506;54;55;5;Undirected;5
507;55;77;5;Undirected;5
508;41;65;5;Undirected;5
509;49;77;5;Undirected;5
510;54;62;5;Undirected;5
511;6;92;5;Undirected;5
512;81;85;5;Undirected;5
513;77;78;5;Undirected;5
514;2;27;5;Undirected;5
515;76;117;5;Undirected;5
516;60;67;5;Undirected;5
517;15;87;5;Undirected;5
518;46;85;5;Undirected;5
519;61;123;5;Undirected;5
520;63;67;5;Undirected;5
521;6;123;5;Undirected;5
522;4;70;5;Undirected;5
523;99;124;5;Undirected;5
524;60;124;5;Undirected;5
525;15;121;5;Undirected;5
526;48;59;5;Undirected;5
527;61;124;5;Undirected;5
528;63;124;5;Undirected;5
529;101;124;5;Undirected;5
530;60;113;5;Undirected;5
531;106;123;5;Undirected;5
532;42;124;5;Undirected;5
533;42;123;5;Undirected;5
534;70;113;4;Undirected;4
535;33;111;4;Undirected;4
536;69;120;4;Undirected;4
537;6;122;4;Undirected;4
538;58;123;4;Undirected;4
539;46;63;4;Undirected;4
540;111;123;4;Undirected;4
541;103;124;4;Undirected;4
542;26;116;4;Undirected;4
543;65;94;4;Undirected;4
544;34;116;4;Undirected;4
545;8;60;4;Undirected;4
546;90;123;4;Undirected;4
547;27;54;4;Undirected;4
548;82;89;4;Undirected;4
549;76;111;4;Undirected;4
550;113;116;4;Undirected;4
551;5;87;4;Undirected;4
552;84;124;4;Undirected;4
553;28;56;4;Undirected;4
554;67;110;4;Undirected;4
555;33;54;4;Undirected;4
556;76;104;4;Undirected;4
557;84;121;4;Undirected;4
558;49;123;4;Undirected;4
559;63;89;4;Undirected;4
560;110;124;4;Undirected;4
561;51;56;4;Undirected;4
562;67;91;4;Undirected;4
563;54;64;4;Undirected;4
564;6;100;4;Undirected;4
565;58;121;4;Undirected;4
566;58;77;4;Undirected;4
567;67;69;4;Undirected;4
568;91;95;4;Undirected;4
569;69;78;4;Undirected;4
570;3;106;4;Undirected;4
571;26;76;4;Undirected;4
572;67;68;4;Undirected;4
573;42;70;4;Undirected;4
574;8;94;4;Undirected;4
575;43;74;4;Undirected;4
576;91;99;4;Undirected;4
577;27;94;4;Undirected;4
578;50;99;4;Undirected;4
579;49;74;4;Undirected;4
580;60;69;4;Undirected;4
581;46;67;4;Undirected;4
582;41;113;4;Undirected;4
583;27;60;4;Undirected;4
584;74;110;4;Undirected;4
585;50;94;4;Undirected;4
586;46;83;4;Undirected;4
587;55;74;4;Undirected;4
588;30;76;4;Undirected;4
589;45;74;4;Undirected;4
590;67;106;4;Undirected;4
591;95;121;4;Undirected;4
592;63;111;4;Undirected;4
593;56;94;4;Undirected;4
594;67;74;4;Undirected;4
595;62;81;4;Undirected;4
596;13;46;4;Undirected;4
597;55;72;4;Undirected;4
598;52;59;4;Undirected;4
599;27;77;4;Undirected;4
600;65;74;4;Undirected;4
601;2;99;4;Undirected;4
602;5;15;4;Undirected;4
603;95;100;4;Undirected;4
604;55;62;4;Undirected;4
605;69;81;4;Undirected;4
606;49;55;4;Undirected;4
607;78;99;4;Undirected;4
608;33;72;4;Undirected;4
609;25;99;4;Undirected;4
610;12;45;4;Undirected;4
611;60;98;4;Undirected;4
612;62;63;4;Undirected;4
613;79;80;4;Undirected;4
614;2;26;4;Undirected;4
615;70;107;4;Undirected;4
616;27;63;4;Undirected;4
617;38;97;4;Undirected;4
618;43;52;4;Undirected;4
619;77;121;4;Undirected;4
620;55;60;4;Undirected;4
621;2;81;4;Undirected;4
622;12;38;4;Undirected;4
623;92;99;4;Undirected;4
624;50;59;4;Undirected;4
625;56;101;4;Undirected;4
626;42;54;4;Undirected;4
627;94;105;4;Undirected;4
628;40;69;4;Undirected;4
629;78;100;4;Undirected;4
630;63;65;4;Undirected;4
631;90;104;4;Undirected;4
632;56;67;4;Undirected;4
633;44;97;4;Undirected;4
634;89;95;4;Undirected;4
635;52;62;3;Undirected;3
636;92;121;3;Undirected;3
637;58;70;3;Undirected;3
638;77;102;3;Undirected;3
639;23;60;3;Undirected;3
640;56;122;3;Undirected;3
641;65;68;3;Undirected;3
642;8;99;3;Undirected;3
643;49;60;3;Undirected;3
644;95;123;3;Undirected;3
645;9;63;3;Undirected;3
646;3;104;3;Undirected;3
647;6;55;3;Undirected;3
648;51;121;3;Undirected;3
649;33;50;3;Undirected;3
650;60;78;3;Undirected;3
651;8;58;3;Undirected;3
652;100;113;3;Undirected;3
653;27;64;3;Undirected;3
654;76;108;3;Undirected;3
655;29;51;3;Undirected;3
656;18;116;3;Undirected;3
657;8;47;3;Undirected;3
658;26;89;3;Undirected;3
659;45;50;3;Undirected;3
660;56;124;3;Undirected;3
661;6;38;3;Undirected;3
662;94;98;3;Undirected;3
663;10;74;3;Undirected;3
664;50;120;3;Undirected;3
665;5;29;3;Undirected;3
666;29;89;3;Undirected;3
667;9;51;3;Undirected;3
668;88;124;3;Undirected;3
669;30;107;3;Undirected;3
670;82;94;3;Undirected;3
671;33;74;3;Undirected;3
672;34;100;3;Undirected;3
673;8;30;3;Undirected;3
674;42;74;3;Undirected;3
675;27;74;3;Undirected;3
676;111;124;3;Undirected;3
677;33;107;3;Undirected;3
678;51;88;3;Undirected;3
679;63;77;3;Undirected;3
680;32;101;3;Undirected;3
681;64;74;3;Undirected;3
682;8;50;3;Undirected;3
683;50;74;3;Undirected;3
684;12;54;3;Undirected;3
685;12;99;3;Undirected;3
686;77;88;3;Undirected;3
687;4;99;3;Undirected;3
688;76;82;3;Undirected;3
689;42;89;3;Undirected;3
690;49;68;3;Undirected;3
691;56;74;3;Undirected;3
692;50;56;3;Undirected;3
693;38;81;3;Undirected;3
694;68;91;3;Undirected;3
695;41;100;3;Undirected;3
696;45;85;3;Undirected;3
697;81;88;3;Undirected;3
698;40;50;3;Undirected;3
699;74;97;3;Undirected;3
700;42;45;3;Undirected;3
701;50;78;3;Undirected;3
702;51;81;3;Undirected;3
703;9;89;3;Undirected;3
704;74;85;3;Undirected;3
705;63;98;3;Undirected;3
706;38;44;3;Undirected;3
707;63;88;3;Undirected;3
708;27;41;3;Undirected;3
709;23;84;3;Undirected;3
710;68;84;3;Undirected;3
711;116;119;3;Undirected;3
712;41;71;3;Undirected;3
713;74;89;3;Undirected;3
714;119;121;3;Undirected;3
715;12;85;3;Undirected;3
716;6;33;3;Undirected;3
717;52;123;3;Undirected;3
718;74;84;3;Undirected;3
719;70;123;3;Undirected;3
720;49;72;3;Undirected;3
721;96;124;3;Undirected;3
722;33;119;3;Undirected;3
723;67;85;3;Undirected;3
724;69;74;3;Undirected;3
725;112;122;3;Undirected;3
726;40;85;3;Undirected;3
727;12;123;3;Undirected;3
728;61;69;3;Undirected;3
729;30;121;3;Undirected;3
730;6;108;3;Undirected;3
731;10;78;3;Undirected;3
732;33;60;3;Undirected;3
733;108;124;3;Undirected;3
734;18;76;3;Undirected;3
735;49;124;3;Undirected;3
736;55;67;3;Undirected;3
737;33;78;3;Undirected;3
738;84;122;3;Undirected;3
739;98;124;3;Undirected;3
740;42;62;3;Undirected;3
741;75;124;3;Undirected;3
742;25;49;3;Undirected;3
743;44;121;3;Undirected;3
744;49;63;3;Undirected;3
745;60;122;3;Undirected;3
746;51;63;3;Undirected;3
747;12;69;3;Undirected;3
748;56;62;3;Undirected;3
749;33;58;3;Undirected;3
750;16;45;3;Undirected;3
751;88;90;3;Undirected;3
752;13;27;3;Undirected;3
753;18;50;3;Undirected;3
754;47;65;3;Undirected;3
755;40;91;3;Undirected;3
756;63;74;3;Undirected;3
757;50;88;3;Undirected;3
758;107;121;3;Undirected;3
759;60;85;3;Undirected;3
760;67;122;3;Undirected;3
761;31;89;3;Undirected;3
762;65;116;3;Undirected;3
763;62;77;3;Undirected;3
764;94;116;3;Undirected;3
765;68;77;3;Undirected;3
766;29;111;3;Undirected;3
767;68;94;3;Undirected;3
768;8;121;3;Undirected;3
769;78;95;3;Undirected;3
770;71;96;3;Undirected;3
771;87;124;2;Undirected;2
772;113;122;2;Undirected;2
773;44;123;2;Undirected;2
774;27;52;2;Undirected;2
775;70;124;2;Undirected;2
776;101;121;2;Undirected;2
777;69;122;2;Undirected;2
778;33;94;2;Undirected;2
779;122;123;2;Undirected;2
780;106;124;2;Undirected;2
781;67;123;2;Undirected;2
782;50;52;2;Undirected;2
783;99;113;2;Undirected;2
784;27;112;2;Undirected;2
785;111;121;2;Undirected;2
786;62;94;2;Undirected;2
787;6;124;2;Undirected;2
788;75;117;2;Undirected;2
789;104;120;2;Undirected;2
790;33;49;2;Undirected;2
791;71;118;2;Undirected;2
792;59;123;2;Undirected;2
793;18;121;2;Undirected;2
794;38;101;2;Undirected;2
795;12;110;2;Undirected;2
796;88;116;2;Undirected;2
797;61;121;2;Undirected;2
798;42;49;2;Undirected;2
799;47;99;2;Undirected;2
800;92;124;2;Undirected;2
801;105;121;2;Undirected;2
802;62;111;2;Undirected;2
803;60;111;2;Undirected;2
804;23;122;2;Undirected;2
805;46;115;2;Undirected;2
806;29;44;2;Undirected;2
807;107;123;2;Undirected;2
808;45;70;2;Undirected;2
809;49;111;2;Undirected;2
810;91;111;2;Undirected;2
811;89;111;2;Undirected;2
812;113;121;2;Undirected;2
813;78;122;2;Undirected;2
814;40;61;2;Undirected;2
815;56;78;2;Undirected;2
816;41;72;2;Undirected;2
817;30;108;2;Undirected;2
818;4;111;2;Undirected;2
819;45;122;2;Undirected;2
820;42;120;2;Undirected;2
